school,band_name,city,state,level,district,enrollment,parades,parades_marched,last_appearance,boa_finalist_years,school_url,band_url,director_name,director_email,director_phone,booster_org,source_urls,score,tier,notes
Tarpon Springs High School,,Tarpon Springs,FL,High,PINELLAS,1086,BOA Grand National Finalist 2024; BOA Grand National Finalist 2022; BOA Grand National Finalist 2018,3,2024,2024; 2022; 2018,http://www.tshs.pinellas.k12.fl.us,,,,,,https://marching.musicforall.org/result/grand-national-championships-2024/; https://marching.musicforall.org/result/grandnationals22/; https://marching.musicforall.org/result/grand-national-championships-2018/,73.0,A,site crawl blocked: HTTP 503 for http://www.tshs.pinellas.k12.fl.us
Niceville High School,Eagle Pride Band,Niceville High School,FL,High,OKALOOSA,1998,Rose 2024; Rose 2017,2,2024,,,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,67.0,A,no website in NCES
Seminole High School,Warhawk Marching Band,Seminole,FL,High,PINELLAS,1388,Rose 2025,1,2025,,http://www.seminole-hs.pinellas.k12.fl.us,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,61.0,A,site crawl blocked: HTTP 409 for http://www.seminole-hs.pinellas.k12.fl.us
Pennsbury High School,Pennsbury High School Marching Band,Fairless Hills,PA,High,Pennsbury SD,2869,Philadelphia 2022; Philadelphia 2019; Philadelphia 2018; Rose 2018; Philadelphia 2016; Philadelphia 2015,6,2022,,,,,,,,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade; https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,60.0,A,no website in NCES
Wando High School,,Mount Pleasant,SC,High,Charleston 01,2593,BOA Grand National Finalist 2025; BOA Grand National Finalist 2018,2,2025,2025; 2018,,,,,,,https://marching.musicforall.org/result/grand-national-championships-2025/; https://marching.musicforall.org/result/grand-national-championships-2018/,57.0,A,nces: matched 'Wando High' (0.92); no website in NCES
Clover High School,Marching Band,Clover,SC,High,York 02,2698,Rose 2026,1,2026,,,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,56.0,A,nces: matched 'Clover High' (0.92); no website in NCES
Brookwood High School,Marching Band,Snellville,GA,High,Gwinnett County,3880,Rose 2023,1,2023,,,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,51.0,A,no website in NCES
Riverview High School,Riverview High School Band,Sarasota,FL,High,SARASOTA,2681,Hollywood 2019; Philadelphia 2015,2,2019,,http://www.sarasotacountyschools.net/riverview,,,,,,https://en.wikipedia.org/wiki/6abc_Dunkin%27_Thanksgiving_Day_Parade; https://thehollywoodchristmasparade.org/category/2019-marching-band-and-pageantry/,47.0,A,no band page found in 1 pages crawled
Downingtown High School,Blue and Gold Marching Band,Downingtown,PA,High,Downingtown Area SD,1808,Rose 2022,1,2022,,,,,,,,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands,36.0,B,nces: matched 'Downingtown HS West Campus' (0.92); no website in NCES
Lassiter High School,The  Marching Trojan Band,Marietta,GA,High,Cobb County,1949,Rose 2019,1,2019,,http://www.cobbk12.org/lassiter,http://www.cobbk12.org/lassiter/band,,,,Our supportive parent community and Lassiter Band Booster Association raise funds that,https://en.wikipedia.org/wiki/Rose_Parade_marching_bands; http://www.cobbk12.org/lassiter/band,36.0,B,social: https://www.facebook.com/cobbschools
